APP_CODE,DEST_ID,SUB_DEST_ID,ORDER_MGMT_SYS_CODE,SALES_BUS_LINE_ID,SALES_BUS_DIVISION,MS_DEST_ID,ISSUE_TYPE_CODE,SALES_CAPTURE_METHOD_CODE,10
CSOM,D1AUTOEX,OA,FIX_DMA,CLSITTRD,IED,D1AUTOEX,STOCK,FIX,12
RBE,,,FIX_DMA,CLSITTRD,,DKAQE,ETF,,40
NV,AQUIS,,CG_DMA,CLSITTRD,,DKAQX,FUND,,19404
NV,BATE,,FIX_SWAP,CLSITTRD,,DKBATE,FUND,,7071
NV,BATE,,FIX_DMA,CLSITTRD,,DKBATEP,ETF,,2332
NV,,,CG_DMA,CLSITTRD,,DKBATEP,FUND,,9074
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM63_MMTRADER4,ETF,FIX,71
MMETL,MMETL,,FIX_DMA,CLSITTRD,,77MMRTRCD1_NYPMM64_MMTRADER3,ADR,FIX,16
MMETL,MMETL,,CARBON,DERIV,IED,77MMRTRINST1_NYPMM71_MMLISTED1,STOCK,Phone,1
MMETL,MMETL,,CARBON,CORE,IED,77MMRTRINST1_NYPMM73_MMNASD1,STOCK,Phone,5
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM65_MMTRADER3,ETF,FIX,1
MMETL,MMETL,,FIX_DMA,CLSITTRD,,78MMRTRCD1_NYPMM67_MMTRADER5,ETF,FIX,283
MMETL,MMETL,,CG_SWAP,CLSITTRD,,78MMRTRMVEA1_NYPMM63_MMTRADER5,ADR,,4
SORT,ARCX,,CG_DMA,CLSITTRD,,ARCA,ETF,FIX,3682087
SORT,CPK,,FIX_SWAP,CLSITTRD,,ARCA,FUND,FIX,2927
SORT,ASX,,PROXIMA,CLSITTRD,,ASX,STOCK,,98901
Passport,Passport,LUX0,Passport,CLSITTRD,IED,ATDL_EU_CSH,STOCK,Passport,5
Passport,Passport,Z,Passport,CLSITTRD,IED,ATDL_EU_CSH,STOCK,Passport,52
RBE,AUTEX,,FIX_SWAP,CLSITTRD,IED,AUTEX,FUTURE,FIX,74
CARBON,CARBON,,CARBON,CORE,IED,AU_CASHDESK,STOCK,Phone,64
SORT,CPK,BARX3,FIX_SWAP,CLSITTRD,,BARX,STOCK,FIX,287
SORT,BIDS,,FIX_DMA,CLSITTRD,IED,BIDS_COND,FUND,FIX,3
SORT,BTEC,,CSOM,CLSITTRD,FID,BTEC,BOND,,34
RBE,BOVESPA,,CG_DMA,CLSITTRD,,BVSP_ROUTER,STOCK,,83
RBE,BVSP,,FIX_DMA,CLSITTRD,,BVSP_ROUTER,ADR,FIX,236
RBE_PREBCHMK,BXS-OC,,FIX_DMA,CLSITTRD,,BXS,STOCK,,355
IEDALGO,RBE_PREBCHMK,,,CLSITTRD,IED,BXS,ETF,FIX,113
RAZER,BXS,,FIX_BXS,CLSITTRD,,BXS_AU,ADR,FIX,1183
CARBON,CARBON,,CARBON,CORE,IED,BXS_FUT_BRZ,FUTURE,,27
SORT,BYXX,BYX2,FIX_DMA,CLSITTRD,,BYX,ETF,FIX,2035
CARBON,CARBON,78,CARBON,DERIV,IED,CARBON,FUTURE,FIX,5
CARBON,CARBON,ELEC,CARBON,DERIV,IED,CARBON,FUTURE,Phone,2498
CARBON,CARBON,,CARBON,DERIV,IED,CARBON,STRAT,FIX,11
CARBON,CARBON,IAEC,CARBON,DERIV,IED,CBOEPULSE_CROSS,OPTION,Phone,3
SORT,EBS,,Matrix_Mobile,FX,FX,CEFX,FX,Matrix_Mobile,21
CD,RAZER,,FIX_DMA,CLSITTRD,,CFE,FUTURE,FIX,5100
mvea,OM_SLICE,,FIX_SWAP,CLSITTRD,,CFSC42,ADR,FIX,8
RBE,CHIX,,FIX_SWAP,CLSITTRD,,CHIX,ETF,,5
PROXIMA,CHX,,PROXIMA,CLSITTRD,,CHX,ETF,FIX,213
SORT,CPK,,FIX_SWAP,CLSITTRD,,CHX,STOCK,FIX,1076
RBE,,3,FIX_BXS,CLSITTRD,,CITADEL,STOCK,,618
